accession,species_ID,genus_ID,designated_species
GCF_015767915.1,23,77,Streptomyces clavuligerus
GCF_015767855.1,23,77,Streptomyces clavuligerus
GCF_015767875.1,23,77,Streptomyces clavuligerus
GCF_015912465.1,23,77,Streptomyces clavuligerus
GCF_015767815.1,23,77,Streptomyces clavuligerus
GCF_015767795.1,23,77,Streptomyces clavuligerus
GCF_015767775.1,23,77,Streptomyces clavuligerus
GCF_015767755.1,23,77,Streptomyces clavuligerus
GCF_015767735.1,23,77,Streptomyces clavuligerus
GCF_015708605.1,23,77,Streptomyces clavuligerus
GCF_005519465.1,23,77,Streptomyces clavuligerus
GCF_003454755.1,23,77,Streptomyces clavuligerus
GCF_015767895.1,23,77,Streptomyces clavuligerus
GCF_015912875.1,23,77,Streptomyces clavuligerus
GCF_000163875.1,23,77,Streptomyces clavuligerus
GCF_015912925.1,23,77,Streptomyces clavuligerus
GCF_015912945.1,23,77,Streptomyces clavuligerus
GCF_015912975.1,23,77,Streptomyces clavuligerus
GCF_015912985.1,23,77,Streptomyces clavuligerus
GCF_015912995.1,23,77,Streptomyces clavuligerus
GCF_000148465.1,23,77,Streptomyces clavuligerus
GCF_015912895.1,23,77,Streptomyces clavuligerus
GCF_008931305.1,21,36,Streptomyces coelicolor
GCF_009862445.1,21,36,Streptomyces sp.
GCF_013307045.1,21,36,Streptomyces coelicolor
GCF_013317105.1,21,36,Streptomyces coelicolor
GCF_008124975.1,21,36,Streptomyces coelicolor
GCF_008124915.1,21,36,Streptomyces coelicolor
GCF_008124905.1,21,36,Streptomyces coelicolor
GCF_008125035.1,21,36,Streptomyces coelicolor
GCF_008124985.1,21,36,Streptomyces coelicolor
GCF_000955965.1,24,6,Streptomyces variegatus
GCF_000725785.1,24,6,Streptomyces flavovariabilis
GCF_000385945.1,5,2,Streptomyces fulvissimus
GCF_001418475.1,131,49,Streptomyces ossamyceticus
GCF_000717055.1,132,6,Streptomyces iakyrus
GCF_006547165.1,81,8,Streptomyces ipomoeae
GCF_000966975.1,180,28,Streptomyces katrae
GCF_000718155.1,181,28,Streptomyces lavendulae
GCF_000718625.1,31,16,Streptomyces lavenduligriseus
GCF_011820545.1,31,16,Streptomyces sp.
GCF_000696595.1,110,44,Streptomyces leeuwenhoekii
GCF_000342125.1,134,9,Streptomyces mobaraensis
GCF_001418645.1,182,49,Streptomyces neyagawaensis
GCF_000819545.1,111,69,Streptomyces nodosus
GCF_000716875.1,32,24,Streptomyces novaecaesareae
GCF_000717725.1,32,24,Streptomyces pyridomyceticus
GCF_000721235.1,183,36,Streptomyces olivaceus
GCF_000367365.1,184,12,Streptomyces prunicolor
GCF_000384175.1,135,15,Streptomyces purpureus
GCF_001514265.1,33,52,Streptomyces resistomycificus
GCF_001270505.1,33,52,Streptomyces resistomycificus
GCF_000716215.1,33,52,Streptomyces resistomycificus
GCF_000718095.1,114,27,Streptomyces scopuliridis
GCF_003073355.1,114,27,Streptomyces scopuliridis
GCF_000719255.1,36,31,Streptomyces varsoviensis
GCF_000718635.1,36,31,Streptomyces varsoviensis
GCF_000830005.1,185,22,Streptomyces vietnamensis
GCF_000380165.1,37,13,Streptomyces vitaminophilus
GCF_001445835.1,37,13,Streptomyces vitaminophilus
GCF_001270515.1,38,22,Streptomyces viridochromogenes
GCF_000716445.1,38,22,Streptomyces wedmorensis
GCF_000725805.1,159,17,Streptomyces xanthophaeus
GCF_000220705.2,137,19,Streptomyces xinghaiensis
GCF_000745345.1,186,38,Streptomyces yeochonensis
GCF_000225525.1,187,5,Streptomyces zinciresistens
GCF_000092385.1,188,3,Streptomyces bingchenggensis
GCF_000147815.2,189,4,Streptomyces violaceusniger
GCF_000177175.2,1,2,Streptomyces sp.
GCF_900091715.1,74,18,Streptomyces sp.
GCF_900095575.1,74,18,Streptomyces sp.
GCF_009863165.1,74,18,Streptomyces sp.
GCF_009862475.1,74,18,Streptomyces sp.
GCF_009862105.1,74,18,Streptomyces sp.
GCF_000382745.1,74,18,Streptomyces sp.
GCF_000177195.2,74,18,Streptomyces sp.
GCF_009865465.1,74,18,Streptomyces sp.
GCF_000226455.1,40,6,Streptomyces chartreusis
GCF_009862985.1,40,6,Streptomyces sp.
GCF_900236475.1,40,6,Streptomyces chartreusis
GCF_900236505.1,40,6,Streptomyces chartreusis
GCF_000239075.1,2,2,Streptomyces sp.
GCF_000253235.1,61,22,Streptomyces venezuelae
GCF_000261345.2,52,2,Streptomyces globisporus
GCF_000297635.1,106,7,Streptomyces sp.
GCF_000299175.2,79,59,Streptomyces sp.
GCF_000317595.1,81,8,Streptomyces ipomoeae
GCF_000720605.1,142,21,Streptomyces rimosus
GCF_008704655.1,142,21,Streptomyces rimosus
GCF_006229535.1,142,21,Streptomyces rimosus
GCF_001507395.1,142,21,Streptomyces rimosus
GCF_001279375.1,142,21,Streptomyces rimosus
GCF_001279105.1,142,21,Streptomyces rimosus
GCF_001279095.1,142,21,Streptomyces rimosus
GCF_001279075.1,142,21,Streptomyces rimosus
GCF_001279025.1,142,21,Streptomyces sp.
GCF_000707925.2,142,21,Streptomyces rimosus
GCF_000718815.1,142,21,Streptomyces sp.
GCF_001279015.1,142,21,Streptomyces rimosus
GCF_000718715.1,142,21,Streptomyces rimosus
GCF_000718295.1,142,21,Streptomyces capuensis
GCF_000717285.1,142,21,Streptomyces rimosus
GCF_000716845.1,142,21,Streptomyces capuensis
GCF_000721045.1,142,21,Streptomyces rimosus
GCF_000331185.2,142,21,Streptomyces rimosus
GCF_000718835.1,142,21,Streptomyces rimosus
GCF_000720715.1,142,21,Streptomyces rimosus
GCF_000718865.1,142,21,Streptomyces rimosus
GCF_000720565.1,142,21,Streptomyces rimosus
GCF_000332625.1,116,51,Streptomyces viridochromogenes
GCF_000349325.1,190,10,Streptomyces davaonensis
GCF_000364805.1,3,11,Streptomyces sp.
GCF_000373405.1,4,2,Streptomyces sp.
GCF_009872615.1,4,2,Streptomyces sp.
GCF_000403665.1,21,36,Streptomyces lividans
GCF_000972395.1,21,36,Streptomyces sp.
GCF_000403765.2,82,41,Streptomyces albulus
GCF_003851665.1,82,41,Streptomyces albulus
GCF_000411495.1,78,40,Streptomyces sp.
GCF_000720885.1,78,40,Streptomyces albus
GCF_004768505.1,78,40,Streptomyces albus
GCF_011006355.1,78,40,Streptomyces albus
GCF_000444875.1,191,16,Streptomyces collinus
GCF_000495755.1,79,59,Streptomyces sp.
GCF_000498935.1,53,2,Streptomyces sp.
GCF_009865365.1,54,18,Streptomyces sp.
GCF_900091745.1,54,18,Streptomyces sp.
GCF_000590515.1,112,4,Streptomyces sp.
GCF_000612545.2,192,17,Streptomyces sp.
GCF_009862115.1,84,2,Streptomyces sp.
GCF_000647875.1,84,2,Streptomyces sp.
GCF_000695235.1,82,41,Streptomyces albulus
GCF_000698495.1,54,18,Streptomyces sp.
GCF_002966105.1,137,19,Streptomyces xinghaiensis
GCF_000700005.2,137,19,Streptomyces xinghaiensis
GCF_001190165.1,137,19,Streptomyces fradiae
GCF_003122345.2,137,19,Streptomyces xinghaiensis
GCF_001756925.1,137,19,Streptomyces fradiae
GCF_000709915.1,193,20,Streptomyces griseorubens
GCF_000716025.1,6,2,Streptomyces baarnensis
GCF_000716515.1,142,21,Streptomyces rimosus
GCF_000716625.1,194,22,Streptomyces bikiniensis
GCF_000716685.1,138,17,Streptomyces virginiae
GCF_000717595.1,85,22,Streptomyces flavochromogenes
GCF_000717655.1,104,64,Streptomyces katrae
GCF_000717745.1,67,25,Streptomyces violens
GCF_000717795.1,1,2,Streptomyces griseus
GCF_000717845.1,21,36,Streptomyces violaceoruber
GCF_000717925.1,156,17,Streptomyces sp.
GCF_000718015.1,41,26,Streptomyces catenulae
GCF_000718165.1,195,29,Streptomyces fulvoviolaceus
GCF_000718205.1,133,2,Streptomyces griseus
GCF_001270675.1,133,2,Streptomyces griseus
GCF_000721205.1,133,2,Streptomyces griseus
GCF_000719035.1,133,2,Streptomyces griseus
GCF_000718915.1,133,2,Streptomyces sp.
GCF_000718235.1,133,2,Streptomyces griseus
GCF_000718375.1,139,20,Streptomyces sp.
GCF_001279005.1,139,20,Streptomyces caelestis
GCF_000718455.1,196,2,Streptomyces globisporus
GCF_000718525.1,43,30,Streptomyces griseus
GCF_000721035.1,43,30,Streptomyces griseus
GCF_000718675.1,142,21,Streptomyces rimosus
GCF_000721665.1,142,21,Streptomyces rimosus
GCF_000718705.1,12,17,Streptomyces lavendulae
GCF_000719625.1,12,17,Streptomyces sp.
GCF_017876235.1,12,17,Streptomyces cinnamonensis
GCF_000719185.1,44,21,Streptomyces rimosus
GCF_000718755.1,44,21,Streptomyces rimosus
GCF_000718775.1,197,16,Streptomyces sp.
GCF_000718935.1,157,17,Streptomyces sp.
GCF_000718955.1,158,17,Streptomyces sp.
GCF_000720795.1,158,17,Streptomyces sp.
GCF_000719265.1,198,32,Streptomyces roseoverticillatus
GCF_000719355.1,52,2,Streptomyces griseus
GCF_000719365.1,140,33,Streptomyces sp.
GCF_000719425.1,78,40,Streptomyces sp.
GCF_000719495.1,79,59,Streptomyces albidoflavus
GCF_000719505.1,199,34,Streptomyces sp.
GCF_000719555.1,200,30,Streptomyces sp.
GCF_000719585.1,133,2,Streptomyces sp.
GCF_000719605.1,129,33,Streptomyces sp.
GCF_000719655.1,133,2,Streptomyces sp.
GCF_000719735.1,78,40,Streptomyces sp.
GCF_000719785.1,63,20,Streptomyces sp.
GCF_000719865.1,201,19,Streptomyces albus
GCF_000719895.1,117,35,Streptomyces sp.
GCF_000719925.1,133,2,Streptomyces sp.
GCF_000720135.1,202,16,Streptomyces sp.
GCF_000720175.1,203,33,Streptomyces sp.
GCF_000720215.1,25,6,Streptomyces sp.
GCF_000720395.1,3,11,Streptomyces flavovirens
GCF_000720405.1,3,11,Streptomyces sp.
GCF_000720505.1,26,6,Streptomyces sp.
GCF_000720675.1,96,36,Streptomyces sp.
GCF_000721105.1,204,37,Streptomyces cellulosae
GCF_000721185.1,54,18,Streptomyces griseolus
GCF_000721435.1,63,20,Streptomyces sp.
GCF_000721535.1,39,4,Streptomyces hygroscopicus
GCF_000721575.1,133,2,Streptomyces griseus
GCF_000721595.1,3,11,Streptomyces sp.
GCF_000721605.1,205,20,Streptomyces sp.
GCF_000721945.1,46,34,Streptomyces sp.
GCF_001513955.1,46,34,Streptomyces pseudovenezuelae
GCF_000722185.1,105,11,Streptomyces sp.
GCF_000725555.1,118,17,Streptomyces erythrochromogenes
GCF_001279065.1,142,21,Streptomyces rimosus
GCF_000725565.1,142,21,Streptomyces peucetius
GCF_000725635.1,79,59,Streptomyces sp.
GCF_000725725.1,159,17,Streptomyces xanthophaeus
GCF_004328625.1,115,35,Streptomyces seoulensis
GCF_000725795.1,115,35,Streptomyces seoulensis
GCF_001550245.1,18,14,Streptomyces scabiei
GCF_001005405.1,18,14,Streptomyces scabiei
GCF_000738715.1,18,14,Streptomyces scabiei
GCF_000739045.1,206,36,Streptomyces luteus
GCF_000743295.1,52,2,Streptomyces sp.
GCF_000797385.1,79,59,Streptomyces sp.
GCF_000800535.1,79,59,Streptomyces sp.
GCF_000805335.1,207,39,Streptomyces sp.
GCF_000816025.1,83,41,Streptomyces sp.
GCF_000816485.1,208,42,Streptomyces sp.
GCF_000829695.1,141,43,Streptomyces sp.
GCF_000829715.2,209,33,Streptomyces lydicamycinicus
GCF_000931445.1,210,44,Streptomyces cyaneogriseus
GCF_003147545.1,52,2,Streptomyces globisporus
GCF_000935185.3,82,41,Streptomyces albulus
GCF_000956015.1,109,17,Streptomyces sp.
GCF_000968685.2,211,4,Streptomyces antioxidans
GCF_000972435.1,96,36,Streptomyces sp.
GCF_000980885.2,126,45,Streptomyces malaysiense
GCF_014873495.1,146,14,Streptomyces stelliscabiei
GCF_001008135.1,146,14,Streptomyces stelliscabiei
GCF_001189035.1,146,14,Streptomyces stelliscabiei
GCF_001014595.1,79,59,Streptomyces sp.
GCF_001040905.1,108,16,Streptomyces sp.
GCF_001047315.1,110,44,Streptomyces leeuwenhoekii
GCF_001187435.1,212,46,Streptomyces caatingaensis
GCF_001189025.1,2,2,Streptomyces europaeiscabiei
GCF_001267885.1,147,36,Streptomyces ambofaciens
GCF_001270565.1,156,17,Streptomyces virginiae
GCF_001279345.1,142,21,Streptomyces rimosus
GCF_001279365.1,142,21,Streptomyces sp.
GCF_001279425.1,133,2,Streptomyces sp.
GCF_001279445.1,12,17,Streptomyces sp.
GCF_001279485.1,12,17,Streptomyces sp.
GCF_001279845.1,12,17,Streptomyces sp.
GCF_001279885.1,12,17,Streptomyces sp.
GCF_001279925.1,12,17,Streptomyces sp.
GCF_014217585.1,12,17,Streptomyces sp.
GCF_001279455.1,139,20,Streptomyces sp.
GCF_001279495.1,12,17,Streptomyces sp.
GCF_001279625.1,156,17,Streptomyces sp.
GCF_001279685.1,12,17,Streptomyces sp.
GCF_001279735.1,133,2,Streptomyces sp.
GCF_001279765.1,12,17,Streptomyces sp.
GCF_001279815.1,12,17,Streptomyces sp.
GCF_001279855.1,12,17,Streptomyces sp.
GCF_001279965.1,12,17,Streptomyces sp.
GCF_001279905.1,12,17,Streptomyces sp.
GCF_001279935.1,12,17,Streptomyces sp.
GCF_001282115.1,48,34,Streptomyces sp.
GCF_002156095.1,48,34,Streptomyces sp.
GCF_001294345.1,105,11,Streptomyces sp.
GCF_001417695.1,88,50,Streptomyces sp.
GCF_001418135.1,62,22,Streptomyces aureus
GCF_001418175.1,148,43,Streptomyces hirsutus
GCF_001418395.1,149,43,Streptomyces prasinopilosus
GCF_001418415.1,148,43,Streptomyces hirsutus
GCF_001418625.1,5,2,Streptomyces luridiscabiei
GCF_001419695.1,149,43,Streptomyces prasinopilosus
GCF_001419705.1,213,43,Streptomyces prasinus
GCF_001425805.1,70,34,Streptomyces sp.
GCF_001426325.1,2,2,Streptomyces sp.
GCF_001427565.1,2,2,Streptomyces sp.
GCF_001431765.1,79,59,Streptomyces sp.
GCF_009846825.1,79,59,Streptomyces sp.
GCF_001434355.1,2,2,Streptomyces anulatus
GCF_001445655.1,76,32,Streptomyces roseifaciens
GCF_001469455.2,141,43,Streptomyces sp.
GCF_001485125.1,18,14,Streptomyces scabiei
GCF_001509565.1,79,59,Streptomyces albidoflavus
GCF_001509775.1,113,4,Streptomyces violaceusniger
GCF_001509795.1,49,50,Streptomyces sp.
GCF_001509785.1,49,50,Streptomyces sp.
GCF_001513975.1,116,51,Streptomyces curacoi
GCF_001513985.1,77,34,Streptomyces griseorubiginosus
GCF_001514045.1,70,34,Streptomyces canus
GCF_001514055.1,150,16,Streptomyces corchorusii
GCF_001514145.1,70,34,Streptomyces canus
GCF_001514235.1,214,51,Streptomyces caeruleatus
GCF_001531145.1,119,17,Streptomyces sp.
GCF_001550215.1,18,14,Streptomyces scabiei
GCF_017968935.1,18,14,Streptomyces sp.
GCF_003584815.1,18,14,Streptomyces scabiei
GCF_001550225.1,18,14,Streptomyces scabiei
GCF_017969045.1,18,14,Streptomyces sp.
GCF_017933255.1,18,14,Streptomyces sp.
GCF_017968905.1,18,14,Streptomyces sp.
GCF_017933115.1,18,14,Streptomyces sp.
GCF_001550295.1,18,14,Streptomyces scabiei
GCF_001572115.1,18,14,Streptomyces scabiei
GCF_001579685.1,18,14,Streptomyces scabiei
GCF_002943895.1,120,22,Streptomyces sp.
GCF_001592685.1,120,22,Streptomyces sp.
GCF_001598115.1,113,4,Streptomyces sp.
GCF_001632865.1,147,36,Streptomyces ambofaciens
GCF_001640565.1,50,53,Streptomyces sp.
GCF_001650215.1,50,53,Streptomyces sp.
GCF_001652895.1,39,4,Streptomyces sp.
GCF_003344445.1,51,54,Streptomyces lincolnensis
GCF_001685355.1,51,54,Streptomyces lincolnensis
GCF_014083905.1,51,54,Streptomyces lincolnensis
GCF_001705785.1,39,4,Streptomyces hygroscopicus
GCF_001723075.1,215,55,Streptomyces niveus
GCF_001729485.1,65,33,Streptomyces lydicus
GCF_001735805.1,216,56,Streptomyces fodineus
GCF_001746295.1,70,34,Streptomyces sp.
GCF_001746305.1,55,2,Streptomyces sp.
GCF_001746425.1,160,17,Streptomyces subrutilus
GCF_001751305.1,56,2,Streptomyces nanshensis
GCF_001865795.1,79,59,Streptomyces albidoflavus
GCF_001866665.1,217,57,Streptomyces monashensis
GCF_001866675.1,218,57,Streptomyces sp.
GCF_001905005.1,219,21,Streptomyces sp.
GCF_001905385.1,97,36,Streptomyces sp.
GCF_001905405.1,52,2,Streptomyces sp.
GCF_014495705.1,2,2,Streptomyces sp.
GCF_001905485.1,2,2,Streptomyces sp.
GCF_001905505.1,89,11,Streptomyces sp.
GCF_001905525.1,2,2,Streptomyces sp.
GCF_001905575.1,2,2,Streptomyces sp.
GCF_001905645.1,2,2,Streptomyces sp.
GCF_001905785.1,52,2,Streptomyces sp.
GCF_001905825.1,86,22,Streptomyces sp.
GCF_001905855.1,151,16,Streptomyces sp.
GCF_001905905.1,220,2,Streptomyces sp.
GCF_001941845.1,109,17,Streptomyces sp.
GCF_001953875.1,119,17,Streptomyces amritsarensis
GCF_001984445.1,65,33,Streptomyces lydicus
GCF_002005565.1,221,36,Streptomyces sp.
GCF_002021875.1,121,4,Streptomyces hygroscopicus
GCF_002028385.1,156,17,Streptomyces sp.
GCF_002028425.1,152,28,Streptomyces katrae
GCF_003814735.1,152,28,Streptomyces sp.
GCF_002080455.1,156,17,Streptomyces sp.
GCF_002082175.1,133,2,Streptomyces violaceoruber
GCF_002090335.1,65,33,Streptomyces sp.
GCF_002094995.1,84,2,Streptomyces sp.
GCF_002150735.1,222,6,Streptomyces africanus
GCF_002154555.1,127,45,Streptomyces murinus
GCF_002156055.1,223,50,Streptomyces viridochromogenes
GCF_002188335.1,45,36,Streptomyces sp.
GCF_002188345.1,2,2,Streptomyces sp.
GCF_002217715.1,52,2,Streptomyces sp.
GCF_002224125.2,224,3,Streptomyces sp.
GCF_002242805.1,153,58,Streptomyces diastatochromogenes
GCF_002251155.1,108,16,Streptomyces sp.
GCF_002261115.1,80,71,Streptomyces kasugaensis
GCF_002289335.1,79,59,Streptomyces albidoflavus
GCF_002317005.1,79,59,Streptomyces albidoflavus
GCF_002317025.1,79,59,Streptomyces albidoflavus
GCF_013363555.1,79,59,Streptomyces fungicidicus
GCF_002382885.1,225,2,Streptomyces sp.
GCF_002551015.1,2,2,Streptomyces sp.
GCF_002551055.1,2,2,Streptomyces sp.
GCF_002551045.1,2,2,Streptomyces sp.
GCF_002551105.1,52,2,Streptomyces sp.
GCF_002551135.1,52,2,Streptomyces sp.
GCF_002551145.1,6,2,Streptomyces sp.
GCF_002551175.1,53,2,Streptomyces sp.
GCF_002551225.1,2,2,Streptomyces sp.
GCF_002551305.1,2,2,Streptomyces sp.
GCF_002551335.1,52,2,Streptomyces sp.
GCF_002551345.1,52,2,Streptomyces sp.
GCF_002551375.1,52,2,Streptomyces sp.
GCF_002551415.1,52,2,Streptomyces sp.
GCF_002551425.1,133,2,Streptomyces sp.
GCF_002551435.1,52,2,Streptomyces sp.
GCF_002551465.1,2,2,Streptomyces sp.
GCF_002551475.1,52,2,Streptomyces sp.
GCF_900090065.1,54,18,Streptomyces sp.
GCF_009863235.1,54,18,Streptomyces sp.
GCF_002705695.1,54,18,Streptomyces sp.
GCF_900102245.1,69,33,Streptomyces sp.
GCF_900105235.1,69,33,Streptomyces sp.
GCF_900105775.1,69,33,Streptomyces sp.
GCF_900187385.1,69,33,Streptomyces sp.
GCF_002761895.1,131,49,Streptomyces sp.
GCF_002802945.1,73,59,Streptomyces sp.
GCF_002803175.1,53,2,Streptomyces sp.
GCF_002804165.1,56,2,Streptomyces cavourensis
GCF_002832675.1,55,2,Streptomyces sp.
GCF_002844215.1,79,59,Streptomyces sp.
GCF_900215565.1,153,58,Streptomyces sp.
GCF_900105245.1,154,16,Streptomyces sp.
GCF_002846455.1,154,16,Streptomyces sp.
GCF_002891315.1,155,41,Streptomyces noursei
GCF_002891435.1,226,6,Streptomyces sp.
GCF_002899455.1,227,20,Streptomyces sp.
GCF_002910775.2,54,18,Streptomyces sp.
GCF_002910795.1,79,59,Streptomyces sp.
GCF_002910815.1,79,59,Streptomyces sp.
GCF_002910875.1,6,2,Streptomyces sp.
GCF_002910905.1,7,2,Streptomyces sp.
GCF_002910985.1,6,2,Streptomyces sp.
GCF_002910935.1,6,2,Streptomyces sp.
GCF_002939385.1,228,36,Streptomyces sp.
GCF_002941025.1,90,11,Streptomyces sp.
GCF_003013745.1,21,36,Streptomyces sp.
GCF_003024215.1,53,2,Streptomyces sp.
GCF_003041235.1,132,6,Streptomyces sp.
GCF_003048205.2,47,51,Streptomyces chartreusis
GCF_003074055.1,88,50,Streptomyces nigra
GCF_003112555.1,45,36,Streptomyces coelicoflavus
GCF_003112595.1,21,36,Streptomyces rubrogriseus
GCF_003116675.1,4,2,Streptomyces sp.
GCF_003116715.1,120,22,Streptomyces sp.
GCF_003116755.1,53,2,Streptomyces sp.
GCF_003116775.1,53,2,Streptomyces sp.
GCF_003116795.1,96,36,Streptomyces sp.
GCF_003143935.1,229,61,Streptomyces sp.
GCF_003148825.1,158,17,Streptomyces sp.
GCF_003330865.1,57,72,Streptomyces atratus
GCF_003352445.1,56,2,Streptomyces cavourensis
GCF_003353555.1,52,2,Streptomyces sp.
GCF_003363195.1,88,50,Streptomyces sp.
GCF_003367645.1,4,2,Streptomyces sp.
GCF_003369795.1,230,36,Streptomyces sp.
GCF_003389455.1,231,33,Streptomyces inhibens
GCF_003443735.1,232,34,Streptomyces sp.
GCF_003595235.1,77,34,Streptomyces griseorubiginosus
GCF_003595545.1,121,4,Streptomyces sp.
GCF_003610995.1,8,2,Streptomyces griseus
GCF_003634815.1,152,28,Streptomyces sp.
GCF_003671675.1,34,20,Streptomyces sp.
GCF_003671685.1,164,36,Streptomyces sp.
GCF_003671715.1,98,36,Streptomyces sp.
GCF_003671755.1,21,36,Streptomyces sp.
GCF_014205315.1,136,4,Streptomyces rapamycinicus
GCF_003675955.1,136,4,Streptomyces rapamycinicus
GCF_003687515.1,79,59,Streptomyces sp.
GCF_003751985.1,151,16,Streptomyces sp.
GCF_003752205.1,233,22,Streptomyces sp.
