accession,genome_GC,Orthogroup,SCO_GC,monophyletic
GCF_014648655.1,69.59433125723383,OG0002232,57.44680851063831,Yes
GCF_000261345.2,71.54212338019983,OG0002232,57.44680851063831,No
GCF_001941845.1,72.2958130444768,OG0002232,57.48299319727891,Yes
GCF_000717025.1,70.72708854584603,OG0002232,57.48299319727891,Yes
GCF_000364805.1,71.0335644530418,OG0002232,57.48299319727891,Yes
GCF_017876235.1,72.26190082540705,OG0002232,57.48299319727891,Yes
GCF_008704535.1,73.44777247101699,OG0002232,57.48299319727891,Yes
GCF_000745345.1,73.55632674347909,OG0002232,57.54385964912281,Yes
GCF_009862505.1,71.68408621865674,OG0002232,57.73195876288659,Yes
GCF_000816025.1,71.59873503209333,OG0002232,57.73195876288659,Yes
GCF_002891315.1,71.21444945088618,OG0002232,57.73195876288659,Yes
GCF_003610995.1,71.70149073097517,OG0002232,57.80141843971632,No
GCF_002094995.1,72.28798094783069,OG0002232,57.80141843971632,Yes
GCF_000010605.1,72.22740792721306,OG0002232,57.80141843971632,Yes
GCF_002382885.1,71.18790627689877,OG0002232,57.80141843971632,No
GCF_014650155.1,71.00454509490565,OG0002232,57.80141843971632,Yes
GCF_016909575.1,70.65190019407797,OG0002232,57.82312925170068,Yes
GCF_000718155.1,72.71275078444424,OG0002232,57.82312925170068,Yes
GCF_000718095.1,70.38786923030266,OG0002232,57.82312925170068,Yes
GCF_004364395.1,71.6393629277467,OG0002232,57.82312925170068,Yes
GCF_001294335.1,70.89427714984109,OG0002250,57.87037037037037,Yes
GCF_000720215.1,71.44995860312143,OG0002232,57.89473684210527,Yes
GCF_001294335.1,70.89427714984109,OG0002232,57.98611111111112,Yes
GCF_016612545.1,70.2367001807192,OG0002232,57.98611111111112,Yes
GCF_000720485.1,71.36500023190627,OG0002232,58.06451612903226,Yes
GCF_000009765.2,70.70135127652237,OG0002232,58.15602836879432,Yes
GCF_900119365.1,70.45385621449539,OG0002232,58.15602836879432,Yes
GCF_003947265.2,73.03047017582355,OG0002232,58.15602836879432,Yes
GCF_004803895.1,70.99426738619486,OG0002232,58.15602836879432,Yes
GCF_000955965.1,71.24131184267277,OG0002232,58.15602836879432,Yes
GCF_000719865.1,73.20297224774073,OG0002232,58.15602836879432,Yes
GCF_001905905.1,72.52618144735315,OG0002232,58.15602836879432,Yes
GCF_000700005.2,72.74064770002371,OG0002232,58.15602836879432,Yes
GCF_000717745.1,71.41159375031481,OG0002232,58.15602836879432,Yes
GCF_004195945.1,73.40945979481012,OG0002232,58.15602836879432,Yes
GCF_014701095.1,71.43732688304102,OG0002232,58.15602836879432,Yes
GCF_004000405.1,71.90012461019978,OG0002232,58.15602836879432,Yes
GCF_001953875.1,72.58388095781491,OG0002232,58.16326530612245,Yes
GCF_002028425.1,72.72868322896561,OG0002232,58.16326530612245,Yes
GCF_000725555.1,72.188913415395,OG0002232,58.16326530612245,Yes
GCF_000725805.1,72.23227410462664,OG0002232,58.16326530612245,Yes
GCF_004795115.1,72.31324619635751,OG0002232,58.16326530612245,Yes
GCF_004151105.1,70.65754333312321,OG0002232,58.16326530612245,Yes
GCF_900215615.1,71.31857072632036,OG0002232,58.245614035087726,Yes
GCF_001685355.1,71.01042401755045,OG0002232,58.333333333333336,Yes
GCF_900104815.1,72.37766029823261,OG0002232,58.333333333333336,Yes
GCF_015912975.1,72.5022989405382,OG0002250,58.333333333333336,Yes
GCF_000317595.1,70.16676316934797,OG0002232,58.4192439862543,Yes
GCF_013409565.1,70.80278813546826,OG0002232,58.50340136054422,Yes
GCF_000612545.2,72.04097248631763,OG0002232,58.50340136054422,Yes
GCF_002080455.1,72.17301149666774,OG0002232,58.50340136054422,Yes
GCF_018982965.1,72.23325012721247,OG0002232,58.50340136054422,Yes
GCF_000966975.1,72.80446402127654,OG0002232,58.50340136054422,Yes
GCF_003950035.1,73.14116767637857,OG0002232,58.50340136054422,Yes
GCF_001746425.1,72.10929117028407,OG0002232,58.50340136054422,Yes
GCF_007827595.1,71.05276439619249,OG0002232,58.59649122807018,Yes
GCF_015912975.1,72.5022989405382,OG0002232,58.59649122807018,Yes
GCF_001640565.1,71.26883552336078,OG0002290,58.66666666666666,Yes
GCF_014203595.1,72.03357497951025,OG0002232,58.68055555555556,Yes
GCF_900105265.1,70.13443560225605,OG0002232,58.68055555555556,Yes
GCF_000384175.1,71.50009640222602,OG0002232,58.68055555555556,Yes
GCF_017877015.1,72.4550168705122,OG0002232,58.68055555555556,Yes
GCF_000367365.1,69.73288633986101,OG0002232,58.68055555555556,Yes
GCF_008042145.1,72.30933320132617,OG0002232,58.68055555555556,Yes
GCF_000725545.1,71.92949751979599,OG0002232,58.68055555555556,Yes
GCF_008639165.1,72.46421082008219,OG0002232,58.68055555555556,Yes
GCF_015244315.1,72.50697707688116,OG0002232,58.76288659793815,Yes
GCF_000721235.1,72.41546052416992,OG0002232,58.76288659793815,Yes
GCF_000721235.1,72.41546052416992,OG0002250,58.79629629629629,Yes
GCF_000719895.1,71.65567720518898,OG0002250,58.79629629629629,Yes
GCF_001723075.1,70.61759337924663,OG0002232,58.84353741496599,Yes
GCF_014076605.1,71.33417979781174,OG0002232,58.84353741496599,Yes
GCF_003949875.1,73.1099150887353,OG0002232,58.84353741496599,Yes
GCF_000147815.2,70.8763616177782,OG0002232,58.84353741496599,Yes
GCF_001652895.1,71.87308271254555,OG0002232,58.84353741496599,Yes
GCF_004563805.1,70.89882432261598,OG0002232,58.84353741496599,Yes
GCF_008705135.1,71.0874109252463,OG0002232,58.86524822695035,No
GCF_003143935.1,71.26307736231789,OG0002232,58.86524822695035,Yes
GCF_002150735.1,71.15070149206248,OG0002232,58.86524822695035,Yes
GCF_006516935.1,71.15204627083791,OG0002232,58.86524822695035,Yes
GCF_014205255.1,70.98128577906316,OG0002232,58.86524822695035,Yes
GCF_000226455.1,71.02442944954693,OG0002232,58.86524822695035,No
GCF_000349325.1,70.56941486717699,OG0002232,58.86524822695035,Yes
GCF_018070535.1,71.58984229120159,OG0002232,58.86524822695035,Yes
GCF_001513985.1,70.88643545733457,OG0002232,58.86524822695035,Yes
GCF_014207295.1,71.21943220843367,OG0002232,58.86524822695035,Yes
GCF_000719505.1,71.07816034179442,OG0002232,58.86524822695035,Yes
GCF_014596915.1,71.43221771322186,OG0002232,58.86524822695035,Yes
GCF_000721605.1,72.0063388907986,OG0002232,58.94736842105262,Yes
GCF_002891435.1,70.82800015627384,OG0002232,58.94736842105262,Yes
GCF_003963535.1,70.62993572153285,OG0002232,58.94736842105262,Yes
GCF_008704715.1,70.99117664090892,OG0002232,58.94736842105262,Yes
GCF_003977875.1,70.56431913227814,OG0002232,58.94736842105262,Yes
GCF_000980885.2,72.20426490137413,OG0002232,59.02777777777778,Yes
GCF_003933295.1,71.75785492289239,OG0002232,59.02777777777778,No
GCF_000717595.1,71.81275055098989,OG0002232,59.02777777777778,Yes
GCF_000718625.1,72.28910990907153,OG0002232,59.02777777777778,Yes
GCF_016612625.1,70.1687907369231,OG0002232,59.02777777777778,Yes
GCF_009834145.1,72.15447193033249,OG0002232,59.02777777777778,No
GCF_001418135.1,71.82357466484632,OG0002232,59.02777777777778,Yes
GCF_010548465.1,72.74278538528552,OG0002232,59.02777777777778,Yes
GCF_003752205.1,72.61656460531034,OG0002232,59.02777777777778,Yes
GCF_900215595.1,71.29502915331933,OG0002232,59.02777777777778,Yes
GCF_003595545.1,70.85004760962612,OG0002232,59.18367346938776,Yes
GCF_009832925.1,71.0396852588241,OG0002232,59.18367346938776,Yes
GCF_001278075.1,71.54140265935604,OG0002232,59.18367346938776,Yes
GCF_000968685.2,71.47187478922336,OG0002232,59.18367346938776,Yes
GCF_000718955.1,71.79907529686092,OG0002232,59.18367346938776,Yes
GCF_014205315.1,71.05130731134788,OG0002232,59.18367346938776,Yes
GCF_001509775.1,70.96844907271088,OG0002232,59.18367346938776,Yes
GCF_001640565.1,71.26883552336078,OG0002232,59.18367346938776,Yes
GCF_000718935.1,71.66822575191871,OG0002232,59.18367346938776,Yes
GCF_016741935.1,70.93047435873022,OG0002232,59.18367346938776,Yes
GCF_003955715.1,70.84778920735614,OG0002232,59.21985815602837,Yes
GCF_017614965.1,70.90619532412342,OG0002232,59.21985815602837,Yes
GCF_900091315.1,71.26559635628402,OG0002232,59.21985815602837,Yes
GCF_000718165.1,70.24932893761864,OG0002232,59.21985815602837,Yes
GCF_018982965.1,72.23325012721247,OG0002250,59.25925925925925,Yes
GCF_003963535.1,70.62993572153285,OG0002250,59.25925925925925,Yes
GCF_009872555.1,71.5141412527273,OG0002232,59.29824561403508,Yes
GCF_000383595.1,71.18922575344534,OG0002232,59.375,Yes
GCF_016860525.1,72.33021684125379,OG0002232,59.375,No
GCF_014650895.1,73.86841746139201,OG0002232,59.375,Yes
GCF_008704995.1,70.87869199791524,OG0002232,59.375,Yes
GCF_000719785.1,72.59169735383811,OG0002232,59.375,No
GCF_009377175.1,71.19898347064205,OG0002232,59.375,Yes
GCF_000816485.1,70.02343510924956,OG0002232,59.375,Yes
GCF_000830005.1,71.99364808646747,OG0002232,59.375,Yes
GCF_008016805.1,72.17302085848387,OG0002232,59.375,Yes
GCF_009872515.1,72.78012557756568,OG0002232,59.375,Yes
GCF_001485125.1,71.53844684810325,OG0002232,59.375,Yes
GCF_900079415.1,72.67812909669054,OG0002232,59.375,No
GCF_002156095.1,71.24939741340447,OG0002232,59.375,Yes
GCF_013870595.1,71.80728235497138,OG0002232,59.375,No
GCF_004795115.1,72.31324619635751,OG0002250,59.523809523809526,Yes
GCF_017639205.1,71.97513531102362,OG0002232,59.523809523809526,Yes
GCF_016755875.1,71.74767346830949,OG0002232,59.523809523809526,Yes
GCF_008039505.1,70.67954736371634,OG0002232,59.523809523809526,Yes
GCF_001418645.1,71.09273134928999,OG0002232,59.523809523809526,Yes
GCF_000716685.1,71.70645448432758,OG0002232,59.523809523809526,Yes
GCF_009857135.1,71.97548933854759,OG0002232,59.523809523809526,Yes
GCF_009862445.1,72.11866110982085,OG0002232,59.57446808510638,Yes
GCF_002188335.1,72.16969174715156,OG0002232,59.57446808510638,Yes
GCF_000739045.1,71.62854703992213,OG0002232,59.57446808510638,Yes
GCF_003369795.1,71.94694442760859,OG0002232,59.57446808510638,No
GCF_900206255.1,70.76447565723471,OG0002232,59.57446808510638,Yes
GCF_001267885.1,72.18785078818404,OG0002232,59.57446808510638,No
GCF_019049245.1,70.46920593617625,OG0002232,59.57446808510638,Yes
GCF_015163075.1,70.77589388975778,OG0002232,59.57446808510638,Yes
GCF_000716675.1,72.17590141370484,OG0002232,59.57446808510638,Yes
GCF_003363195.1,71.92051257710922,OG0002232,59.64912280701754,Yes
GCF_000709915.1,71.7720114283777,OG0002232,59.64912280701754,Yes
GCF_014202475.1,71.3761413815067,OG0002232,59.64912280701754,Yes
GCF_000225525.1,72.45765896906404,OG0002232,59.64912280701754,Yes
GCF_018966745.1,72.28748407732631,OG0002232,59.64912280701754,Yes
GCF_008642375.1,71.92355356884542,OG0002232,59.72222222222222,Yes
GCF_001514265.1,70.94166661673785,OG0002232,59.72222222222222,Yes
GCF_016741855.1,72.07340935087522,OG0002232,59.72222222222222,Yes
GCF_006716135.1,72.51435348449981,OG0002232,59.72222222222222,Yes
GCF_009811555.1,71.33644441223096,OG0002250,59.72222222222222,Yes
GCF_007828695.1,72.01608180577536,OG0002232,59.72222222222222,Yes
GCF_000718775.1,72.82103019912239,OG0002232,59.72222222222222,Yes
GCF_003945525.1,71.96136842476199,OG0002232,59.72222222222222,Yes
GCF_003933965.1,70.91051053004985,OG0002232,59.72222222222222,Yes
GCF_002251155.1,72.71767908392607,OG0002232,59.72222222222222,Yes
GCF_000720135.1,72.32100914084657,OG0002232,59.72222222222222,Yes
GCF_001270515.1,72.06079851138708,OG0002232,59.72222222222222,Yes
GCF_001866665.1,71.50485862455224,OG0002250,59.72222222222222,Yes
GCF_018128905.1,70.88445976334732,OG0002232,59.72222222222222,Yes
GCF_003443735.1,70.5852272440746,OG0002232,59.72222222222222,Yes
GCF_002899455.1,72.79880945931232,OG0002232,59.72222222222222,Yes
GCF_018638305.1,72.32694370284175,OG0002232,59.72222222222222,Yes
GCF_010548375.1,71.01283397881669,OG0002232,59.72222222222222,Yes
GCF_002224125.2,70.77328045264795,OG0002232,59.863945578231295,Yes
GCF_002761895.1,71.05262045970098,OG0002232,59.863945578231295,Yes
GCF_000092385.1,70.75458902611386,OG0002232,59.863945578231295,Yes
GCF_000813365.1,72.66666675444937,OG0002232,59.9290780141844,Yes
GCF_018070205.1,71.9263035883291,OG0002232,59.9290780141844,Yes
GCF_000342125.1,73.26973094131425,OG0002232,59.9290780141844,Yes
GCF_000931445.1,72.85908886895231,OG0002232,59.9290780141844,Yes
GCF_000718635.1,72.39832027893979,OG0002232,59.9290780141844,Yes
GCF_000720675.1,72.5811962847692,OG0002232,59.9290780141844,Yes
GCF_008704575.1,71.44011611880775,OG0002232,59.9290780141844,Yes
GCF_011008945.1,73.2502875225165,OG0002232,59.9290780141844,Yes
GCF_002005565.1,72.53403555056444,OG0002232,59.9290780141844,Yes
GCF_002939385.1,72.1075480887608,OG0002232,59.9290780141844,Yes
GCF_000718155.1,72.71275078444424,OG0002250,60.0,Yes
GCF_019049285.1,70.47930751060726,OG0002232,60.0,Yes
GCF_900105245.1,71.92455527688543,OG0002232,60.0,Yes
GCF_003041235.1,71.45260306774082,OG0002232,60.0,Yes
GCF_001513975.1,70.90036207915387,OG0002232,60.0,Yes
GCF_001905855.1,72.14158284419638,OG0002232,60.0,Yes
GCF_002242805.1,71.02562801020376,OG0002232,60.0,Yes
GCF_002939475.1,72.39930118315576,OG0002082,60.0,Yes
GCF_001514235.1,70.63396853115424,OG0002232,60.0,Yes
GCF_012927245.1,72.73758658293158,OG0002232,60.06944444444444,Yes
GCF_014197485.1,72.96627479898616,OG0002232,60.06944444444444,Yes
GCF_014649515.1,72.28029898333222,OG0002232,60.06944444444444,Yes
GCF_014650115.1,72.07896486388853,OG0002232,60.06944444444444,Yes
GCF_001746295.1,70.2789487786098,OG0002232,60.06944444444444,Yes
GCF_014650615.1,71.65819458694891,OG0002232,60.06944444444444,Yes
GCF_017526105.1,71.83741230666094,OG0002232,60.06944444444444,Yes
GCF_014648635.1,72.49160528271786,OG0002232,60.06944444444444,Yes
GCF_003949805.1,73.05617874950838,OG0002232,60.06944444444444,Yes
GCF_008704515.1,72.55647111696172,OG0002232,60.06944444444444,Yes
GCF_006715925.1,72.26273356333616,OG0002232,60.06944444444444,Yes
GCF_001513955.1,70.82976174779763,OG0002232,60.06944444444444,Yes
GCF_000716625.1,73.07199505128393,OG0002232,60.06944444444444,Yes
GCF_006539185.1,71.81957138804985,OG0002232,60.06944444444444,Yes
GCF_001278075.1,71.54140265935604,OG0002290,60.08771929824561,Yes
GCF_000349325.1,70.56941486717699,OG0002250,60.18518518518518,Yes
GCF_001270575.1,70.96611250672458,OG0002250,60.18518518518518,Yes
GCF_001685355.1,71.01042401755045,OG0002250,60.18518518518518,Yes
GCF_015244315.1,72.50697707688116,OG0002250,60.18518518518518,Yes
GCF_008642275.1,72.13719847250294,OG0002232,60.204081632653065,Yes
GCF_008039505.1,70.67954736371634,OG0002290,60.256410256410255,Yes
GCF_014649135.1,73.32446384653537,OG0002232,60.28368794326241,Yes
GCF_001905385.1,72.01671510900026,OG0002232,60.28368794326241,Yes
GCF_018614415.1,71.9776729394496,OG0002232,60.28368794326241,Yes
GCF_004364245.1,72.34530652761906,OG0002232,60.28368794326241,Yes
GCF_002802945.1,73.44165296923315,OG0002232,60.28368794326241,Yes
GCF_014253015.1,73.1471939892551,OG0002232,60.28368794326241,Yes
GCF_018070175.1,72.12096500107661,OG0002232,60.28368794326241,Yes
GCF_014650435.1,71.89684322825536,OG0002232,60.28368794326241,Yes
GCF_002005565.1,72.53403555056444,OG0002076,60.31746031746032,Yes
GCF_004028635.1,70.37668880389512,OG0002232,60.35087719298245,Yes
GCF_008704575.1,71.44011611880775,OG0002078,60.36036036036037,Yes
GCF_001746425.1,72.10929117028407,OG0002078,60.36036036036037,No
GCF_002080455.1,72.17301149666774,OG0002078,60.36036036036037,No
GCF_009863145.1,71.54155446220113,OG0002078,60.36036036036037,No
GCF_010548165.1,71.65749135805102,OG0002078,60.36036036036037,No
GCF_002382885.1,71.18790627689877,OG0002078,60.36036036036037,No
GCF_004364395.1,71.6393629277467,OG0002078,60.36036036036037,No
GCF_003950035.1,73.14116767637857,OG0002078,60.36036036036037,No
GCF_013364315.1,71.29451435141188,OG0002078,60.36036036036037,No
GCF_002551145.1,71.7512317437235,OG0002078,60.36036036036037,No
GCF_002551175.1,71.54293541516054,OG0002078,60.36036036036037,No
GCF_002910905.1,71.11775336959565,OG0002078,60.36036036036037,No
GCF_003610995.1,71.70149073097517,OG0002078,60.36036036036037,No
GCF_009863125.1,70.97059002585705,OG0002078,60.36036036036037,No
GCF_003947265.2,73.03047017582355,OG0002078,60.36036036036037,Yes
GCF_003949875.1,73.1099150887353,OG0002078,60.36036036036037,No
GCF_008704535.1,73.44777247101699,OG0002078,60.36036036036037,No
GCF_001746305.1,71.58706601368708,OG0002078,60.36036036036037,No
GCF_000718955.1,71.79907529686092,OG0002078,60.36036036036037,No
GCF_001434355.1,71.7243872234859,OG0002078,60.36036036036037,No
GCF_900119365.1,70.45385621449539,OG0002078,60.36036036036037,No
GCF_001640565.1,71.26883552336078,OG0002078,60.36036036036037,Yes
GCF_000010605.1,72.22740792721306,OG0002078,60.36036036036037,No
GCF_000261345.2,71.54212338019983,OG0002078,60.36036036036037,No
GCF_000700005.2,72.74064770002371,OG0002078,60.36036036036037,Yes
GCF_000716685.1,71.70645448432758,OG0002078,60.36036036036037,No
GCF_016741935.1,70.93047435873022,OG0002078,60.36036036036037,Yes
GCF_014649535.1,70.56218698012687,OG0002078,60.36036036036037,No
GCF_018619185.1,71.58550682310738,OG0002078,60.36036036036037,No
GCF_000718155.1,72.71275078444424,OG0002078,60.36036036036037,No
GCF_000718455.1,71.65156533049444,OG0002078,60.36036036036037,No
GCF_000718935.1,71.66822575191871,OG0002078,60.36036036036037,No
GCF_000719555.1,73.19297597363543,OG0002078,60.36036036036037,No
GCF_014648655.1,69.59433125723383,OG0002078,60.36036036036037,No
GCF_000719865.1,73.20297224774073,OG0002078,60.36036036036037,Yes
GCF_000725805.1,72.23227410462664,OG0002078,60.36036036036037,No
GCF_000717725.1,72.92522243817906,OG0002078,60.36036036036037,Yes
GCF_000718525.1,73.89174165612695,OG0002232,60.41666666666666,Yes
GCF_000719555.1,73.19297597363543,OG0002232,60.41666666666666,Yes
GCF_008634015.1,73.56197590803878,OG0002232,60.41666666666666,Yes
GCF_013046785.1,72.45340867463028,OG0002232,60.41666666666666,Yes
GCF_019049255.1,71.73554307199355,OG0002232,60.41666666666666,Yes
GCF_014649995.1,72.21373693347616,OG0002232,60.41666666666666,Yes
GCF_900105395.1,73.62599978000117,OG0002190,60.43613707165109,Yes
GCF_002224125.2,70.77328045264795,OG0002290,60.44444444444444,Yes
GCF_017639205.1,71.97513531102362,OG0002250,60.47619047619048,Yes
GCF_000297635.1,72.92147577802726,OG0002290,60.526315789473685,Yes
GCF_009832925.1,71.0396852588241,OG0002290,60.526315789473685,Yes
GCF_001685355.1,71.01042401755045,OG0002082,60.55555555555555,Yes
GCF_013394065.1,72.07981307532526,OG0002082,60.55555555555555,Yes
GCF_009857135.1,71.97548933854759,OG0002250,60.56338028169014,Yes
GCF_001187435.1,73.2561104577597,OG0002232,60.63829787234043,Yes
GCF_000297635.1,72.92147577802726,OG0002232,60.63829787234043,Yes
GCF_014651075.1,71.15373364263675,OG0002232,60.63829787234043,Yes
GCF_002939475.1,72.39930118315576,OG0002232,60.63829787234043,Yes
GCF_014648695.1,70.84029136574024,OG0002250,60.64814814814815,Yes
GCF_004125315.1,71.40638299845043,OG0002250,60.64814814814815,Yes
GCF_004217355.1,71.75752505864055,OG0002250,60.64814814814815,Yes
GCF_900104815.1,72.37766029823261,OG0002250,60.64814814814815,Yes
GCF_900206255.1,70.76447565723471,OG0002250,60.64814814814815,Yes
GCF_001509795.1,72.16649594777202,OG0002250,60.64814814814815,Yes
GCF_003389455.1,70.4648605806529,OG0002290,60.68376068376068,Yes
GCF_004125245.1,72.01623646813974,OG0002076,60.68376068376068,Yes
GCF_002156055.1,72.09258720874736,OG0002232,60.70175438596491,Yes
GCF_008973465.1,72.1608013454021,OG0002232,60.70175438596491,Yes
GCF_000444875.1,72.55081180229493,OG0002232,60.70175438596491,Yes
GCF_001509795.1,72.16649594777202,OG0002232,60.70175438596491,Yes
GCF_014650735.1,71.8983588434935,OG0002232,60.763888888888886,Yes
GCF_004328625.1,71.85854258591137,OG0002232,60.763888888888886,Yes
GCF_000719895.1,71.65567720518898,OG0002232,60.763888888888886,Yes
GCF_001735805.1,71.08880262065536,OG0002232,60.763888888888886,Yes
GCF_000718375.1,72.3730541599248,OG0002232,60.763888888888886,Yes
GCF_004217355.1,71.75752505864055,OG0002232,60.763888888888886,Yes
GCF_009852415.1,72.9708712093927,OG0002232,60.763888888888886,Yes
GCF_019090105.1,71.86124229584006,OG0002232,60.763888888888886,Yes
GCF_000092385.1,70.75458902611386,OG0002290,60.88888888888889,Yes
GCF_002891435.1,70.82800015627384,OG0002184,60.90534979423868,Yes
GCF_000725555.1,72.188913415395,OG0002250,60.95238095238096,Yes
GCF_000718955.1,71.79907529686092,OG0002250,60.95238095238096,Yes
GCF_017876235.1,72.26190082540705,OG0002250,60.95238095238096,Yes
GCF_003970715.1,72.05272410738365,OG0002232,60.99290780141844,Yes
GCF_014203535.1,72.72608929123523,OG0002232,61.05263157894737,Yes
GCF_013409565.1,70.80278813546826,OG0002195,61.059190031152646,Yes
GCF_004125315.1,71.40638299845043,OG0002197,61.11111111111112,Yes
GCF_001418175.1,71.10698629264331,OG0002232,61.11111111111112,Yes
GCF_001419705.1,72.06462172629973,OG0002232,61.11111111111112,Yes
GCF_007829875.1,72.5290855559092,OG0002232,61.11111111111112,Yes
GCF_001866665.1,71.50485862455224,OG0002232,61.11111111111112,Yes
GCF_004117935.1,72.60257762172793,OG0002232,61.11111111111112,Yes
GCF_000829695.1,71.73770604455973,OG0002232,61.11111111111112,Yes
GCF_000715845.1,71.01373388843392,OG0002082,61.11111111111112,Yes
GCF_900105395.1,73.62599978000117,OG0002082,61.11111111111112,Yes
GCF_018614415.1,71.9776729394496,OG0002082,61.11111111111112,No
GCF_001509775.1,70.96844907271088,OG0002076,61.11111111111112,Yes
GCF_900215615.1,71.31857072632036,OG0002082,61.11111111111112,Yes
GCF_014656075.1,73.21108540302635,OG0002232,61.11111111111112,Yes
GCF_001514235.1,70.63396853115424,OG0002250,61.11111111111112,Yes
GCF_000816485.1,70.02343510924956,OG0002184,61.11111111111112,Yes
GCF_003865155.1,72.03283162627643,OG0002082,61.11111111111112,Yes
GCF_001270575.1,70.96611250672458,OG0002076,61.11111111111112,Yes
GCF_003443735.1,70.5852272440746,OG0002082,61.11111111111112,Yes
GCF_011008945.1,73.2502875225165,OG0002082,61.11111111111112,Yes
GCF_000816025.1,71.59873503209333,OG0002076,61.11111111111112,Yes
GCF_000720485.1,71.36500023190627,OG0002250,61.11111111111112,Yes
GCF_019049285.1,70.47930751060726,OG0002250,61.11111111111112,Yes
GCF_014650435.1,71.89684322825536,OG0002250,61.11111111111112,Yes
GCF_003595545.1,70.85004760962612,OG0002076,61.11111111111112,Yes
GCF_003933295.1,71.75785492289239,OG0002250,61.11111111111112,Yes
GCF_009377175.1,71.19898347064205,OG0002250,61.11111111111112,Yes
GCF_014649515.1,72.28029898333222,OG0002076,61.11111111111112,Yes
GCF_000931445.1,72.85908886895231,OG0002082,61.11111111111112,Yes
GCF_003389455.1,70.4648605806529,OG0002076,61.11111111111112,Yes
GCF_003994375.1,70.7989531942107,OG0002250,61.11111111111112,Yes
GCF_001187435.1,73.2561104577597,OG0002082,61.11111111111112,Yes
GCF_014207295.1,71.21943220843367,OG0002082,61.11111111111112,No
